"","r","var","kwh","pool"
"1","1","ine","0","4250"
"2","2","ine","186","4000"
"3","3","ine","223","4200"
"4","4","ine","166","3950"
"5","5","ine","175","4100"
"6","6","ine","177","4250"
"7","7","ine","264","3900"
"8","8","ine","266","3500"
"9","9","ine","244","3100"
"10","10","ine","268","2800"
"11","11","ine","286","2500"
"12","12","ine","268","2250"
"13","13","ine","371","1850"
"14","14","ine","357","1650"
"15","15","ine","371","1500"
"16","16","ine","363","1200"
"17","17","ine","355","900"
"18","18","ine","332","750"
"19","1","eff","0","4250"
"20","2","eff","304","4000"
"21","3","eff","306","4200"
"22","4","eff","335","3950"
"23","5","eff","323","4100"
"24","6","eff","337","4250"
"25","7","eff","289","3900"
"26","8","eff","244","3500"
"27","9","eff","257","3100"
"28","10","eff","279","2800"
"29","11","eff","257","2500"
"30","12","eff","253","2250"
"31","13","eff","179","1850"
"32","14","eff","164","1650"
"33","15","eff","176","1500"
"34","16","eff","171","1200"
"35","17","eff","165","900"
"36","18","eff","173","750"
